Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
197,Badger Meter,Mechanical Data Analysis Intern,"Milwaukee, WI",2 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/mechanical-data-analysis-intern-at-badger-meter-3725124845?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=Y%2BSEAvZ60BeS3SDAuKgEkA%3D%3D&position=1&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
198,Interstates,Analytics Intern,"Sioux Falls, SD",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/analytics-intern-at-interstates-3726547535?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=RLCPjBMlmxJ%2FDH5ZkU%2BaUw%3D%3D&position=2&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
199,StoneTurn,"Intern - Compliance, Monitoring, Investigations","Boston, MA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/intern-compliance-monitoring-investigations-at-stoneturn-3728886804?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=nHA%2FbnDNCEbYooh4RUqQHg%3D%3D&position=3&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
200,Randstad USA,Bioinformatics Co-op,United States,$28 - $32,INVALID LINK,https://www.linkedin.com/jobs/view/bioinformatics-co-op-at-randstad-usa-3733539472?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=3C2ajINSHrOUY3ulzsO%2Fyw%3D%3D&position=4&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
201,Precision,Spring Data Analytics and Insights Internship,"Washington, DC",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/spring-data-analytics-and-insights-internship-at-precision-3710589751?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=9%2F1Sz%2FNYhpU7FnLk8OeTjw%3D%3D&position=5&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
202,Bayer,Process Insights & Analytics Intern,United States,Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/process-insights-analytics-intern-at-bayer-3734885705?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=vlx%2FLZCZvSHKt8VYJ8bz8A%3D%3D&position=6&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
203,The Home Depot,Analytics Undergraduate Internship (Remote - Summer 2024),"Atlanta, GA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/analytics-undergraduate-internship-remote-summer-2024-at-the-home-depot-3715387852?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=UBu1IF%2BZt6r3tcjM9Xpggg%3D%3D&position=7&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
204,JRC Integrated Systems,Summer 2024 Internship - Data Science,"Crane, IN",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/summer-2024-internship-data-science-at-jrc-integrated-systems-3730490235?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=6V14rJBMGJAJYZvOpgemZg%3D%3D&position=8&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
205,"Futurewei Technologies, Inc.","Intern, ML Algorithms","Santa Clara, CA",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/intern-ml-algorithms-at-futurewei-technologies-inc-3712197190?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=39%2FJIWOMW6ADivx2L7aJ0A%3D%3D&position=9&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
206,Procter & Gamble,Quality Assurance Intern,"Phoenix, AZ",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/quality-assurance-intern-at-procter-gamble-3714004302?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=UhAq%2FGWoYQCj2Z0aVXnIHw%3D%3D&position=10&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
207,Penn State University,[Undergraduate] Applied Cognitive Science Research Assistant (Ritter),"University Park, PA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/undergraduate-applied-cognitive-science-research-assistant-ritter-at-penn-state-university-3677884303?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=x%2FZdZM0inKnNjun7P8ii5Q%3D%3D&position=11&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
208,BHG Financial,Quantitative Analyst Intern - Summer 2024,United States,Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/quantitative-analyst-intern-summer-2024-at-bhg-financial-3733854074?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=cfewsJ%2FFPKEuHfLPhoCa%2BQ%3D%3D&position=12&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
209,Iridium,"Intern, Data Engineer","Chandler, AZ",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/intern-data-engineer-at-iridium-3725752217?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=8bGx%2F5PT50PXWhNGN5BkyQ%3D%3D&position=13&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
210,MJ Insurance,"Analyst Intern, Employee Benefits- Summer","Carmel, IN",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/analyst-intern-employee-benefits-summer-at-mj-insurance-3718229009?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=W6Ol07lhr%2FHOmGTuildOtQ%3D%3D&position=14&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
211,StoneTurn,"Intern - Compliance, Monitoring, Investigations","Boston, MA",Actively Hiring,"Do you want to work for a fast-paced, rapidly growing firm that values culture, work-life balance, and reputation above all? If so, StoneTurn could be the right fit for you.
StoneTurn, a global advisory firm, assists companies, their counsel and government agencies on regulatory, risk and compliance issues, investigations, and business disputes. We serve our clients from offices across the U.S., U.K., Germany, Brazil, Singapore, and South Africa, assisted by a network of senior advisers around the world.



Show more",https://www.linkedin.com/jobs/view/intern-compliance-monitoring-investigations-at-stoneturn-3728883956?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=DD2zbZ3VEUmj9lqLGllTOA%3D%3D&position=15&pageNum=8&trk=public_jobs_jserp-result_search-card,34,"Industries
Business Consulting and Services",0
212,MIT Lincoln Laboratory,Group 52--Summer Research Program Intern-AI and Machine Learning Researcher,"Lexington, MA",2 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/group-52-summer-research-program-intern-ai-and-machine-learning-researcher-at-mit-lincoln-laboratory-3720897296?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=OKYFv%2Fcolq2JicLtMaHG5Q%3D%3D&position=16&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
213,Analog Devices,"Intern, Foundry Engineering Data Analysis","Wilmington, MA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/intern-foundry-engineering-data-analysis-at-analog-devices-3733833831?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=Rm0NBLEimj7YfNbUwhxc%2FQ%3D%3D&position=17&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
214,Elevance Health,"Data Analyst Internship - Graduate, Summer 2024",Greater Indianapolis,Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/data-analyst-internship-graduate-summer-2024-at-elevance-health-3734807128?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=NQQxq1i0SJ%2BMFJ7JcMmAqA%3D%3D&position=18&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
215,Perpay Inc.,"Strategic Analytics Internship, 2024","Philadelphia, PA",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/strategic-analytics-internship-2024-at-perpay-inc-3719125666?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=MY%2BBJ%2Fdz2pCTP3ecoE%2BXqw%3D%3D&position=19&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
216,Energy Jobline,CX Data Scientist - Summer Intern 2024,"Miami, FL",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/cx-data-scientist-summer-intern-2024-at-energy-jobline-3717959951?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=B2cUzRxe5PCvaqbBCIES2Q%3D%3D&position=20&pageNum=8&trk=public_jobs_jserp-result_search-card,,,0
217,"U.S. Venture, Inc.",Data Science Intern,"Appleton, WI",Actively Hiring,"Position Summary

Join the U.S. Venture Finance Data & Analytics Team as a Data Science Intern for Summer 2024!

The internship will start May 2024 through August 2024. Part-time work during the fall school semester might be available, depending on business needs. This internship will be located at the U.S. Venture Corporate Headquarters in Appleton, WI.






Show more",https://www.linkedin.com/jobs/view/data-science-intern-at-u-s-venture-inc-3712007313?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=1mb9FLN%2FuayRtE2kkfZeyw%3D%3D&position=21&pageNum=8&trk=public_jobs_jserp-result_search-card,90,"Industries
Manufacturing",0
218,Procter & Gamble,Quality Assurance Intern,"Auburn, ME",Be an early applicant,"Job Location

Cincinnati

Job Description

Job Description

P&G is the largest consumer packaged goods company in the world. We have operations in over 75 countries, with 65 trusted brands that improve lives for 5 billion consumers worldwide. This brings many advantages, including the opportunity for our employees to enjoy a diverse and rewarding lifelong career filled with new and exciting challenges.

We believe great ideas emerge from the creative connections that happen between our hardworking employees, and we encourage diverse, multi-functional teams to work together to generate new ideas to address challenges we face. P&G has positions available at various technical centers and plants (including Cincinnati) across the United States.

We are currently looking for a passionate and dynamic Quality Assurance Intern who will be given a wide range of meaningful and fulfilling assignments. We don’t just offer a job; we offer a career with varying assignments and lots of development opportunities. P&G provides plenty of development and learning opportunities, through formal and informal mentoring, day-to-day coaching from your manager, regular guidance from teams and consistent checks to assure progress. We want you to succeed - because when you do well, we all do well.

Superior quality is the gold standard: Our QA team strives for nothing but the best every single day. It's one of the key reasons over 5 billion consumers purchase our products around the world. On our team, you'll play a key part in driving the integrity of our brands and helping us deliver our Quality Promise:

""Superior Quality that creates Trust, Value and Delight."" We expect you to define quality requirements, deliver against compliance and regulatory requirements with perfection, and assure an exceptional customer experience - this would be your work every day.





Responsibilities as of Day 1 _ you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities.

Continuous mentorship - you will work with passionate people and receive both formal training as well as day-to-day mentoring from your manager. Work and be part of a dynamic and encouraging environment - working over a diverse array of interesting problems.

Promote agility and work/life effectiveness and your long-term well-being.

Get a competitive salary and benefits package.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.

Immigration sponsorship is not available for this role. As a general matter, Procter & Gamble does not sponsor candidates for nonimmigrant visas or permanent residency. However, Procter & Gamble may make exceptions on a discretionary basis. Any exceptions would be based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual.

Procter & Gamble participates in e-verify as required by law.

Qualified individuals will not be disadvantaged based on being unemployed.


Full time


R000083577


Internships (Job Segmentation)


$29.00 - $50.00 / hour
Show more",https://www.linkedin.com/jobs/view/quality-assurance-intern-at-procter-gamble-3713999997?refId=co%2BYHM4JKaalpPOlOqPbtA%3D%3D&trackingId=rs%2FxrUZIUXHN0J4FL24nzg%3D%3D&position=22&pageNum=8&trk=public_jobs_jserp-result_search-card,25,"Industries
Manufacturing",29
